Date,Open,High,Low,Close
10/2020,"3,385.87","3,549.85","3,233.94","3,269.96"
09/2020,"3,507.44","3,588.11","3,209.45","3,363.00"
08/2020,"3,288.26","3,514.77","3,284.53","3,500.31"
07/2020,"3,105.92","3,279.99","3,101.17","3,271.12"
06/2020,"3,038.78","3,233.13","2,965.66","3,100.29"
05/2020,"2,869.09","3,068.67","2,766.64","3,044.31"
04/2020,"2,498.08","2,954.86","2,447.49","2,912.43"
03/2020,"2,974.28","3,136.72","2,191.86","2,584.59"
02/2020,"3,235.66","3,393.52","2,855.84","2,954.22"
01/2020,"3,244.67","3,337.77","3,214.64","3,225.52"
12/2019,"3,143.85","3,247.93","3,070.33","3,230.78"
11/2019,"3,050.72","3,154.26","3,050.72","3,140.98"
10/2019,"3,046.90","3,046.90","3,023.19","3,037.56"
